bowler,runs_conceded,balls,wickets,overs,economy,death_overs_economy,middle_overs_economy,powerplay_economy,death_overs_balls_bowled,middle_overs_balls_bowled,powerplay_balls_bowled,total_balls_bowled
PV Tambe,847,660,27,110.0,7.7,10.923076923076923,7.059523809523809,8.615384615384615,78,504,78,660
PVD Chameera,606,384,13,64.0,9.46875,11.058823529411764,8.333333333333334,9.15625,102,90,192,384
PVSN Raju,49,24,1,4.0,12.25,12.5,12.0,12.0,12,6,6,24
PWA Mulder,16,6,0,1.0,16.0,16.0,,,6,0,0,6
PWH de Silva,1122,798,46,133.0,8.436090225563909,8.4,8.300970873786408,9.9,120,618,60,798
Pankaj Singh,455,300,11,50.0,9.1,13.125,9.411764705882353,7.6,48,102,150,300
Parvez Rasool,270,198,4,33.0,8.181818181818182,,7.681818181818182,9.181818181818182,0,132,66,198
Prince Yadav,219,137,3,22.833333333333332,9.591240875912408,13.542857142857143,8.23076923076923,8.25,35,78,24,137
R Ashwin,5521,4710,184,785.0,7.033121019108281,7.9267886855241265,6.871543577178858,6.972843450479234,601,2857,1252,4710
R Bhatia,2023,1636,71,272.6666666666667,7.419315403422982,8.519480519480519,7.19310839913855,12.5,231,1393,12,1636
R Dhawan,880,662,25,110.33333333333333,7.97583081570997,10.304347826086957,7.318840579710145,8.346153846153847,92,414,156,662
R Goyal,34,24,0,4.0,8.5,,8.5,,0,24,0,24
R McLaren,529,354,12,59.0,8.966101694915254,10.071428571428571,8.8,8.48,84,120,150,354
R Ninan,65,36,3,6.0,10.833333333333334,16.0,9.8,,6,30,0,36
R Parag,462,295,7,49.166666666666664,9.396610169491526,13.384615384615385,9.266666666666667,8.0,13,270,12,295
R Powell,32,18,1,3.0,10.666666666666666,13.0,9.5,,6,12,0,18
R Rampaul,308,268,16,44.666666666666664,6.895522388059702,11.423076923076923,5.666666666666667,5.851851851851852,52,54,162,268
R Ravindra,7,12,0,2.0,3.5,,3.5,,0,12,0,12
R Sai Kishore,643,441,32,73.5,8.748299319727892,10.518518518518519,8.210526315789474,11.0,81,342,18,441
R Sanjay Yadav,21,12,0,2.0,10.5,,13.0,8.0,0,6,6,12
R Sathish,228,139,3,23.166666666666668,9.841726618705035,18.48,7.947368421052632,,25,114,0,139
R Sharma,1093,928,40,154.66666666666666,7.066810344827586,8.883116883116882,6.701754385964913,6.733333333333333,154,684,90,928
R Shepherd,400,210,10,35.0,11.428571428571429,12.857142857142858,11.416666666666666,9.0,42,144,24,210
R Shukla,206,120,5,20.0,10.3,13.4,10.166666666666666,8.666666666666666,30,36,54,120
R Tewatia,1093,843,32,140.5,7.779359430604982,7.2,7.816793893129771,7.5,45,786,12,843
R Vinay Kumar,2953,2127,105,354.5,8.330042313117067,10.191780821917808,7.7478991596638656,7.261904761904762,657,714,756,2127
RA Jadeja,5139,4056,169,676.0,7.60207100591716,8.761363636363637,7.398936170212766,8.125,528,3384,144,4056
RA Shaikh,11,6,0,1.0,11.0,,,11.0,0,0,6,6
RA Tripathi,12,6,0,1.0,12.0,,12.0,,0,6,0,6
RD Chahar,2131,1670,75,278.3333333333333,7.656287425149701,7.75609756097561,7.635983263598327,7.833333333333333,164,1434,72,1670
RE van der Merwe,503,443,21,73.83333333333333,6.812641083521445,8.210526315789473,6.0576923076923075,9.666666666666666,95,312,36,443
RG More,61,35,1,5.833333333333333,10.457142857142857,10.235294117647058,8.5,15.0,17,12,6,35
RG Sharma,447,339,15,56.5,7.911504424778761,8.693877551020408,7.8,7.68,49,240,50,339
RJ Gleeson,106,68,2,11.333333333333334,9.352941176470587,11.076923076923078,6.666666666666667,9.5,26,18,24,68
RJ Harris,1034,832,45,138.66666666666666,7.45673076923077,9.218978102189782,7.2272727272727275,6.394366197183099,274,132,426,832
RJ Peterson,70,48,3,8.0,8.75,13.0,7.0,5.0,18,18,12,48
RJW Topley,217,120,5,20.0,10.85,13.6,11.8,9.0,30,30,60,120
RN ten Doeschate,88,78,2,13.0,6.769230769230769,10.0,6.5,,6,72,0,78
RP Meredith,571,388,19,64.66666666666667,8.829896907216494,10.153846153846153,8.12,8.222222222222221,130,150,108,388
RP Singh,2297,1775,90,295.8333333333333,7.764507042253522,9.028462998102468,8.048780487804878,7.029940119760479,527,246,1002,1775
RR Bhatkal,35,12,0,2.0,17.5,,15.0,20.0,0,6,6,12
RR Bose,24,12,0,2.0,12.0,,,12.0,0,0,12,12
RR Powar,512,426,12,71.0,7.211267605633803,8.75,7.066666666666666,7.2272727272727275,24,270,132,426
RR Raje,204,139,6,23.166666666666668,8.805755395683454,10.054054054054054,8.375,8.0,37,96,6,139
RS Bopara,285,206,11,34.333333333333336,8.300970873786408,10.0,7.865853658536586,,42,164,0,206
RS Gavaskar,8,6,0,1.0,8.0,8.0,,,6,0,0,6
RS Hangargekar,53,36,3,6.0,8.833333333333334,6.5,10.0,10.0,12,18,6,36
RV Gomez,129,96,5,16.0,8.0625,12.5,7.428571428571429,,12,84,0,96
RV Patel,20,18,0,3.0,6.666666666666667,10.0,5.0,,6,12,0,18
RW Price,33,18,0,3.0,11.0,,9.5,14.0,0,12,6,18
Ramandeep Singh,59,40,6,6.666666666666667,8.85,10.090909090909092,7.333333333333333,,22,18,0,40
Rashid Khan,3812,3202,158,533.6666666666666,7.143035602748283,8.375,6.708827404479578,7.9426934097421205,576,2277,349,3202
Rasikh Salam,396,231,10,38.5,10.285714285714286,10.761904761904763,10.052631578947368,10.222222222222221,63,114,54,231
Ravi Bishnoi,2194,1633,72,272.1666666666667,8.061236987140232,9.136929460580914,7.80188679245283,8.65,241,1272,120,1633
S Aravind,1025,760,45,126.66666666666667,8.092105263157894,9.648648648648647,8.516129032258064,7.366197183098592,148,186,426,760
S Badree,319,258,11,43.0,7.4186046511627906,4.0,8.0,7.1923076923076925,6,96,156,258
S Dhawan,71,48,4,8.0,8.875,,8.0,10.333333333333334,0,30,18,48
S Dube,213,124,5,20.666666666666668,10.306451612903226,10.95,10.0,,40,84,0,124
S Gopal,1345,991,52,165.16666666666666,8.143289606458124,6.327272727272728,8.291970802919709,7.947368421052632,55,822,114,991
S Joseph,40,24,0,4.0,10.0,,10.5,9.5,0,12,12,24
S Kaul,1736,1209,58,201.5,8.615384615384615,8.83453237410072,8.067567567567568,9.051724137931034,417,444,348,1209
S Kaushik,298,204,6,34.0,8.764705882352942,14.75,7.37037037037037,13.333333333333334,24,162,18,204
S Ladda,221,138,5,23.0,9.608695652173912,12.0,8.642857142857142,9.333333333333334,36,84,18,138
S Lamichhane,296,210,13,35.0,8.457142857142857,10.2,7.833333333333333,8.666666666666666,30,108,72,210
S Midhun,28,12,0,2.0,14.0,,14.0,,0,12,0,12
S Nadeem,1758,1415,48,235.83333333333334,7.454416961130741,9.157894736842104,7.102897102897103,7.98,114,1001,300,1415
S Narwal,196,106,5,17.666666666666668,11.094339622641508,19.666666666666668,9.272727272727273,9.363636363636363,18,22,66,106
S Rana,18,16,0,2.6666666666666665,6.75,3.0,8.0,,4,12,0,16
S Randiv,217,174,6,29.0,7.482758620689655,9.0,7.125,9.5,18,144,12,174
S Sandeep Warrier,243,168,8,28.0,8.678571428571429,,8.6,8.695652173913043,0,30,138,168
S Sreesanth,1120,880,41,146.66666666666666,7.636363636363637,10.897058823529411,7.344827586206897,6.947368421052632,136,174,570,880
S Sriram,49,18,0,3.0,16.333333333333332,,16.333333333333332,,0,18,0,18
S Tyagi,292,209,6,34.833333333333336,8.382775119617225,16.363636363636363,7.0,8.107142857142858,11,30,168,209
S Vidyut,21,12,1,2.0,10.5,,10.5,,0,12,0,12
SA Abbott,99,54,1,9.0,11.0,17.0,9.333333333333334,10.8,6,18,30,54
SA Yadav,8,6,0,1.0,8.0,,,8.0,0,0,6,6
SB Bangar,214,150,4,25.0,8.56,14.25,8.0,4.333333333333333,24,108,18,150
SB Jakati,1444,1085,46,180.83333333333334,7.985253456221198,9.572519083969466,7.671328671328672,8.625,131,858,96,1085
SB Joshi,82,55,1,9.166666666666666,8.945454545454545,11.142857142857142,8.625,,7,48,0,55
SB Styris,272,216,8,36.0,7.555555555555555,10.454545454545455,6.388888888888889,6.0,66,108,42,216
SB Wagh,141,102,5,17.0,8.294117647058824,11.5,,7.866666666666666,12,0,90,102
SC Ganguly,365,276,10,46.0,7.934782608695652,16.5,7.341463414634147,10.333333333333334,12,246,18,276
SC Kuggeleijn,69,48,2,8.0,8.625,8.0,8.666666666666666,11.0,24,18,6,48
SD Chitnis,56,36,2,6.0,9.333333333333334,4.0,10.0,12.0,6,24,6,36
SE Bond,219,186,9,31.0,7.064516129032258,9.333333333333334,6.0,6.2,54,42,90,186
SE Rutherford,55,41,1,6.833333333333333,8.048780487804878,2.4,8.833333333333334,,5,36,0,41
SH Johnson,281,164,5,27.333333333333332,10.28048780487805,8.863636363636363,12.5,10.071428571428571,44,36,84,164
SJ Srivastava,412,282,14,47.0,8.76595744680851,9.11111111111111,8.5625,8.772727272727273,54,96,132,282
SK Raina,1117,908,25,151.33333333333334,7.381057268722467,8.651162790697674,7.136044880785414,7.545454545454546,129,713,66,908
SK Trivedi,1863,1506,65,251.0,7.422310756972111,8.823529411764707,6.888268156424581,8.571428571428571,306,1074,126,1506
SK Warne,1426,1194,56,199.0,7.165829145728643,8.833333333333334,6.687898089171974,9.666666666666666,216,942,36,1194
SL Malinga,3298,2828,170,471.3333333333333,6.997171145685997,7.7994628469113705,7.07,6.151215121512151,1117,600,1111,2828
SM Boland,55,42,2,7.0,7.857142857142857,7.666666666666667,10.0,7.333333333333333,18,6,18,42
SM Curran,1995,1253,59,208.83333333333334,9.553072625698324,11.02827763496144,10.285714285714286,8.16842105263158,389,294,570,1253
SM Harwood,62,60,3,10.0,6.2,11.0,4.0,2.0,24,18,18,60
SM Pollock,303,276,11,46.0,6.586956521739131,8.0,7.818181818181818,6.147058823529412,6,66,204,276
SMSM Senanayake,208,192,9,32.0,6.5,8.5,9.428571428571429,5.142857142857143,24,42,126,192
SN Khan,6,2,0,0.3333333333333333,18.0,18.0,,,2,0,0,2
SN Thakur,3116,2070,109,345.0,9.031884057971014,10.123422159887799,7.780821917808219,9.094285714285714,713,657,700,2070
SP Narine,4931,4351,192,725.1666666666666,6.799816134222018,7.318744053282589,6.601010101010101,6.720779220779221,1051,2376,924,4351
SPD Smith,5,2,0,0.3333333333333333,15.0,15.0,,,2,0,0,2
SR Tendulkar,58,36,0,6.0,9.666666666666666,19.0,7.8,,6,30,0,36
SR Watson,2622,2029,92,338.1666666666667,7.753573188762937,9.306759098786827,7.281553398058253,7.028776978417266,577,618,834,2029
SS Agarwal,42,24,1,4.0,10.5,,10.333333333333334,11.0,0,18,6,24
SS Cottrell,162,120,6,20.0,8.1,15.666666666666666,6.333333333333333,6.857142857142857,18,18,84,120
SS Iyer,7,6,0,1.0,7.0,7.0,,,6,0,0,6
SS Mundhe,5,6,1,1.0,5.0,,,5.0,0,0,6,6
SS Sarkar,34,25,1,4.166666666666667,8.16,6.0,6.0,15.0,13,6,6,25
SSB Magala,51,36,1,6.0,8.5,5.0,6.5,14.0,12,12,12,36
ST Jayasuriya,381,294,13,49.0,7.775510204081633,8.6,7.5,10.0,60,228,6,294
STR Binny,746,594,23,99.0,7.5353535353535355,9.6,7.301587301587301,7.3076923076923075,60,378,156,594
SW Tait,580,473,24,78.83333333333333,7.357293868921777,7.76,8.021052631578947,6.815789473684211,150,95,228,473
SZ Mulani,54,30,0,5.0,10.8,19.0,7.666666666666667,12.0,6,18,6,30
Sachin Baby,8,10,2,1.6666666666666667,4.8,6.0,4.0,,4,6,0,10
Sandeep Sharma,3990,3045,146,507.5,7.862068965517241,9.956931359353971,7.901960784313726,6.926627218934911,743,612,1690,3045
Shahbaz Ahmed,930,588,22,98.0,9.489795918367347,7.6923076923076925,9.578947368421053,9.72,39,399,150,588
Shahid Afridi,232,180,9,30.0,7.733333333333333,9.666666666666666,7.45,6.25,36,120,24,180
Shakib Al Hasan,1827,1484,63,247.33333333333334,7.386792452830188,9.309278350515463,6.857142857142857,7.546666666666667,194,840,450,1484
Shashank Singh,51,30,1,5.0,10.2,16.0,8.75,,6,24,0,30
Shivam Mavi,906,649,30,108.16666666666667,8.375963020030817,10.267379679144385,6.666666666666667,8.12,187,162,300,649
Shivam Sharma,165,114,4,19.0,8.68421052631579,9.5,8.466666666666667,,24,90,0,114
Shoaib Ahmed,153,102,5,17.0,9.0,14.0,6.7272727272727275,12.333333333333334,18,66,18,102
Shoaib Akhtar,50,42,5,7.0,7.142857142857143,,,7.142857142857143,0,0,42,42
Shoaib Malik,78,51,2,8.5,9.176470588235293,9.6,9.0,,15,36,0,51
Sikandar Raza,139,85,3,14.166666666666666,9.811764705882354,,9.205479452054796,13.5,0,73,12,85
Simarjeet Singh,389,240,11,40.0,9.725,10.0,9.538461538461538,9.761904761904763,36,78,126,240
Sohail Tanvir,255,247,22,41.166666666666664,6.194331983805668,6.87378640776699,4.0,5.863636363636363,103,12,132,247
Sumit Kumar,36,20,0,3.3333333333333335,10.799999999999999,18.0,10.0,,2,18,0,20
Sunny Gupta,45,18,0,3.0,15.0,,16.5,12.0,0,12,6,18
Suryansh Shedge,37,18,0,3.0,12.333333333333334,23.0,7.0,,6,12,0,18
Suyash Sharma,819,558,18,93.0,8.806451612903226,10.333333333333334,8.628205128205128,7.333333333333333,72,468,18,558
Swapnil Singh,237,162,7,27.0,8.777777777777779,,8.85,8.571428571428571,0,120,42,162
T Henderson,41,36,1,6.0,6.833333333333333,9.333333333333334,4.333333333333333,,18,18,0,36
T Natarajan,1984,1362,68,227.0,8.740088105726873,9.92100538599641,7.629976580796252,8.253968253968255,557,427,378,1362
T Shamsi,185,120,3,20.0,9.25,14.0,8.411764705882353,,18,102,0,120
T Stubbs,68,36,3,6.0,11.333333333333334,5.0,12.6,,6,30,0,36
T Thushara,150,135,8,22.5,6.666666666666667,9.733333333333333,4.0,5.7,45,30,60,135
TA Boult,3678,2687,143,447.8333333333333,8.21287681429103,10.44382801664355,8.627118644067796,7.124069478908188,721,354,1612,2687
TG Southee,1711,1206,47,201.0,8.512437810945274,10.344827586206897,7.513513513513513,7.8584905660377355,348,222,636,1206
TK Curran,415,238,13,39.666666666666664,10.46218487394958,12.054054054054054,8.964705882352941,9.285714285714286,111,85,42,238
TL Suman,195,150,6,25.0,7.8,11.5,7.15,6.0,24,120,6,150
TM Dilshan,363,271,5,45.166666666666664,8.03690036900369,7.4399999999999995,8.0,8.571428571428571,25,204,42,271
TM Head,113,58,2,9.666666666666666,11.689655172413794,9.0,12.899999999999999,,18,40,0,58
TP Sudhindra,129,70,1,11.666666666666666,11.057142857142857,13.636363636363637,11.25,8.5,22,24,24,70
TS Mills,334,209,11,34.833333333333336,9.588516746411482,9.876923076923076,11.0,7.916666666666667,65,72,72,209
TU Deshpande,1533,966,51,161.0,9.521739130434783,11.096153846153847,9.066666666666666,8.658227848101266,312,180,474,966
Tejas Baroka,33,21,0,3.5,9.428571428571429,18.0,8.0,8.0,3,12,6,21
Tilak Varma,27,22,0,3.6666666666666665,7.363636363636364,12.0,6.0,7.0,4,12,6,22
UT Yadav,4262,3057,144,509.5,8.365063788027477,10.155737704918034,8.075601374570446,7.636363636363637,732,873,1452,3057
Umar Gul,173,135,12,22.5,7.688888888888889,10.4,7.0,5.333333333333333,45,54,36,135
Umran Malik,738,494,29,82.33333333333333,8.963562753036438,10.273972602739727,8.102301790281329,17.0,73,391,30,494
V Kaverappa,36,24,2,4.0,9.0,,16.0,6.666666666666667,0,6,18,24
V Kohli,350,251,4,41.833333333333336,8.366533864541832,12.461538461538462,7.8933333333333335,,26,225,0,251
V Nigam,345,234,11,39.0,8.846153846153847,5.666666666666667,9.48,9.25,36,150,48,234
V Pratap Singh,293,204,10,34.0,8.617647058823529,10.0,7.909090909090909,8.5,42,66,96,204
V Puthur,108,72,6,12.0,9.0,11.5,8.5,,12,60,0,72
V Sehwag,230,136,6,22.666666666666668,10.147058823529411,13.636363636363637,8.176470588235293,20.5,22,102,12,136
V Shankar,315,238,9,39.666666666666664,7.9411764705882355,7.866666666666666,8.14054054054054,3.75,45,185,8,238
V Viyaskanth,90,60,1,10.0,9.0,,9.0,,0,60,0,60
VG Arora,965,639,36,106.5,9.061032863849766,10.074626865671643,11.23076923076923,8.346604215456674,134,78,427,639
VR Aaron,1439,994,44,165.66666666666666,8.686116700201207,10.932692307692308,7.82089552238806,8.375,208,402,384,994
VR Iyer,142,81,3,13.5,10.518518518518519,9.636363636363637,11.125,,33,48,0,81
VRV Singh,528,360,12,60.0,8.8,8.5,8.379310344827585,10.153846153846153,108,174,78,360
VS Malik,260,205,6,34.166666666666664,7.609756097560976,10.285714285714285,8.0,7.238095238095238,7,72,126,205
VS Yeligati,55,30,0,5.0,11.0,13.0,9.666666666666666,13.0,6,18,6,30
VY Mahesh,475,339,21,56.5,8.4070796460177,7.0476190476190474,7.909090909090909,10.76923076923077,63,198,78,339
Vijaykumar Vyshak,543,333,17,55.5,9.783783783783784,11.925925925925926,9.085714285714285,9.142857142857142,81,210,42,333
Vivrant Sharma,28,18,0,3.0,9.333333333333334,,9.333333333333334,,0,18,0,18
W O'Rourke,129,62,6,10.333333333333334,12.483870967741934,12.857142857142856,12.0,12.75,14,24,24,62
WA Mota,94,72,4,12.0,7.833333333333333,11.5,6.0,,24,48,0,72
WD Parnell,910,723,36,120.5,7.551867219917012,8.25974025974026,6.95,7.306451612903226,231,120,372,723
WG Jacks,210,138,8,23.0,9.130434782608695,10.0,8.8125,9.833333333333334,6,96,36,138
WPUJC Vaas,352,282,18,47.0,7.48936170212766,11.375,8.833333333333334,6.303030303030303,48,36,198,282
Washington Sundar,1428,1119,38,186.5,7.656836461126005,9.407407407407407,7.027522935779817,8.359375,81,654,384,1119
XC Bartlett,96,60,2,10.0,9.6,,12.0,9.0,0,12,48,60
Y Gnaneswara Rao,7,6,0,1.0,7.0,,7.0,,0,6,0,6
Y Nagar,115,66,4,11.0,10.454545454545455,,10.5,10.0,0,60,6,66
Y Prithvi Raj,54,30,1,5.0,10.8,,7.333333333333333,16.0,0,18,12,30
Y Venugopal Rao,330,216,6,36.0,9.166666666666666,13.25,8.4,9.571428571428571,24,150,42,216
YA Abdulla,294,209,15,34.833333333333336,8.440191387559809,11.288135593220339,7.7272727272727275,7.0,59,66,84,209
YBK Jaiswal,6,1,0,0.16666666666666666,36.0,36.0,,,1,0,0,1
YK Pathan,1400,1147,41,191.16666666666666,7.323452484742807,9.49367088607595,7.470588235294118,6.5423728813559325,79,714,354,1147
YS Chahal,4964,3791,217,631.8333333333334,7.856502242152466,9.153965785381025,7.552478134110787,7.856435643564357,643,2744,404,3791
Yash Dayal,1343,872,41,145.33333333333334,9.240825688073395,10.139737991266376,8.165853658536586,9.273972602739725,229,205,438,872
Yash Thakur,748,443,25,73.83333333333333,10.130925507900677,10.906077348066297,9.38961038961039,9.88888888888889,181,154,108,443
Yudhvir Singh,247,139,8,23.166666666666668,10.661870503597122,12.0,11.666666666666666,9.952941176470588,18,36,85,139
Yuvraj Singh,1078,869,36,144.83333333333334,7.443037974683544,8.336283185840708,7.309523809523809,,113,756,0,869
Z Khan,2769,2200,103,366.6666666666667,7.551818181818182,9.182866556836903,8.212624584717608,6.63157894736842,607,301,1292,2200
Zeeshan Ansari,328,203,6,33.833333333333336,9.694581280788176,12.521739130434781,9.333333333333334,,23,180,0,203
